id,product,brand,meta_brand,image,category_1,category_2,category_3,category_4
778218,A&W Minuman Soda Rasa Sarsaparila Kaleng 250 ml,A&W,"root beer aw, aw sarsaparilla, minuman bersoda",https://c.alfagift.id/product/1/1_A7782180002167_20220620155927937_base.jpg,Minuman,Minuman Ringan,Minuman Karbonasi,
731661,A.T.B Biskuit Marie Susu 180 g,A.T.B,"alfamart, alfacart, a.t.b biskuit marie susu, harga biskuit regal",https://c.alfagift.id/product/1/1_A7316610001001_20200219110245597_base.jpg,Makanan,Makanan Ringan,Biskuit & Crakers,
768321,AAA Kopi Bubuk Bag 100 g,AAA,"Jual, Beli, AAA, Harga, Diskon, Harga, Diskon, Promo, Alfacart",https://c.alfagift.id/product/1/1_A7683210001073_20210805135215924_base.jpg,Minuman,Minuman Instan,Kopi & Krimer,
26927,ABC Saus Tomat 275 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A09600011557_A09600011557_20231107102837829_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
13715,ABC Terasi Udang 20 x 3.8 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A28120001978_A28120001978_20231107102837819_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
774404,ABC Sambal Geprek 10 x 18 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A7744040002167_A7744040002167_20231107102837848_base.jpg,Kebutuhan Dapur,Bahan Masakan,Bumbu & Pelengkap Masakan,Saus & Sambal
802637,ABC Minuman Soya Chocolate 200 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A8026370002167_20231109161516334_base.jpg,Minuman,Produk Olahan Susu,Susu Cair,
772140,ABC Minuman Sari Kacang Hijau 3 x 250 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/1_A7721400002167_20211207103226047_base.jpg,Minuman,Minuman Ringan,Jus & Sari Buah,
14439,ABC Squash Delight Sirup Jeruk Florida Botol 450 ml,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A12370002895_A12370002895_20231107102837808_base.jpg,Minuman,Minuman Instan,Sirup,
13921,ABC Sardines Saus Ekstra Pedas 155 g,ABC,"sarden abc 155 gr, sarden kaleng abc, sambal tomat abc, abc kopi susu, abc minuman",https://c.alfagift.id/product/1/A11640002229_A11640002229_20231107102837833_base.jpg,Produk Segar & Beku,Makanan Kemasan,Makanan Laut Kemasan,
