product_name,product_link-href,img-src,komposisi,komposisi_lain,kalori_total,lemak_total,protein,karbohidrat_total,gula,garam
French Fries 2000 (62g),https://nyemil.com/french-fries-2000-62g/,https://nyemil.com/wp-content/uploads/2023/09/French-Fries-2000-62g_fi.jpg,"Makanan Ekstrudat Kentang (50%):
Pati Kentang (72.31%), Minyak Nabati, Gula, Garam, Penguat Rasa Mononatrium Glutamat, Bubuk Bawang Putih, Bubuk Bawang Merah, Bubuk Merica
Sambal Tomat (50%):
Gula, Cabai, Bawang Putih, Garam, Tomat, Penguat Rasa Mononatrium Glutamat, Pengawet Makanan Natrium Benzoat, Pewarna Makanan Sintetik (Tartrazin CI No 19140 dan Kuning FCF No 15985)",,279 kkal,9.3 g,0 g,49.6 g,0 g,775 mg
Indomie Mi Goreng (85g),https://nyemil.com/indomie-mi-goreng-85g/,https://nyemil.com/wp-content/uploads/2023/09/indomie-mi-goreng-85g_fi.jpg,"Komposisi Mi:
Tepung terigu, minyak nabati, tepung tapioka, garam, penstabil (nabati dan fosfat), pengatur keasaman, mineral (zat besi), antioksidan TBHQ, pewarna sintetik Tartrazin CI 19140.
Bumbu: 
Gula, garam, penguat rasa mononatrium glutamat, bawang putih bubuk, bawang merah bubuk, perisa sintetik ayam (mengandung telur, susu, penguat rasa dinatrium inosinat dan guanilat), lada bubuk dan vitamin (A, B1, B6, B12, Niasin, Asam Folat, dan Pantotenat).
Minyak:
Minyak nabati dan bawang merah.
Kecap Manis:
Gula, air, kedelai, gandum, garam, bumbu dan rempah-rempah, minyak wijen.
Saus Cabe:
Cabe, air, gula, garam, pengental, pengatur keasaman, bumbu, penguat rasa (mononatrium glutamat, dinatrium inosinat, dan guanilat), perisa sintetik, pengawet (natrium benzoat dan natrium metabisulfit).
Bawang Goreng: 
Mengandung antioksidan TBHQ.","Alergen:Tepung terigu, telur, susu, kedelai, gandum. Mungkin mengandung kacang tanah, udang, dan ikan.",380 kkal,14 g,8 g,54 g,8 g,1070 mg
Indomilk Kental Manis Putih (37g),https://nyemil.com/indomilk-kental-manis-putih-37g/,https://nyemil.com/wp-content/uploads/2023/09/indomilk-kental-manis-putih-37g_fi.jpg,"Gula, air, minyak nabati, whey bubuk (7.99%), susu skim bubuk (5.67%), maltodesktrin, penstabil nabati, perisa sintetik, perisa alami, laktosa, zink, premiks vitamin, antioksidan tokoferol campuran pekat.","Alergen:Whey bubuk, susu skim bubu, laktosa",120 kkal,3.5 g,1 g,22 g,19 g,30 mg
Japota Potato Chips Happy Honey Butter (68g),https://nyemil.com/japota-potato-chips-happy-honey-butter-68g/,https://nyemil.com/wp-content/uploads/2023/09/Japota-Potato-Chips-Happy-Honey-Butter-68g_fi.jpg,"Kentang (57%), Minyak Kelapa Sawit (Mengandung Antioksidan Butil Hidrokinon Tersier (TBHQ)), Bumbu Rasa Madu Mentega (Mengandung Gula, Perisa Sintetik (mengandung Bubuk Mentega (0.0002%)), Padatan Susu, Hidrolisat Protein Kedelai, Garam, Bubuk Kecap, Penguat Rasa (Mononatrium Glutamat, Dinatrium Inosinat dan Dinatrium Guanilat), Pengatur Keasaman, Bubuk Keju, Pemanis Alami Glikosida Steviol, Bubuk Madu (0.02%))","Alergen:Bubuk Mentega, Padatan Susu, Hidrolisat Protein Kedelai, Bubuk Kecap, dan Bubuk Keju. Diproduksi menggunakan peralatan yang juga memproses Serealia, Telur, Ikan, dan Kacang Pohon.",364.3 kkal,21.9 g,4.9 g,36.4 g,4.9 g,388.6 mg
Tos Tos Tortilla Chips Korean BBQ,https://nyemil.com/tos-tos-tortilla-chips-korean-bbq/,https://nyemil.com/wp-content/uploads/2023/09/tostos-tortilla-chips-koran-bbq-145g_fi.jpg,"Jagung (68,3%), minyak sawit (mengandung antioksidan TBHQ (E319)), bumbu BBQ Korea (mengandung gula, garam, penguat rasa (Mononatrium Glutamat (E621), Dinatrium Inosinat (E631), Dinatrium Guanilat (E627)), protein nabati terhidrolisis, perisa sintetik daging sapi, daging sapi bubuk (0.04%), paprika oleoresin, pemanis alami Glikosida Steviol (E960), Capsicum Oleoresin), pati jagung, pengemulsi Monogliserida Asam Lemak (E471) (mengandung antioksidan Alfa Tokoferol (E307) dan Ascorbyl Palmitat (E304).","Alergen:Bumbu BBQ Korea. Diproduksi dengan peralatan yang juga memproses produk yang mengandung gandum, krustasea, telur, ikan, susu, seledri, mustar, dan wijen.",773.3 kkal,43.5 g,9.7 g,87 g,9.7 g,870 mg
Roma Marie Susu Biskuit (115g),https://nyemil.com/roma-marie-susu-biskuit-115g/,https://nyemil.com/wp-content/uploads/2023/09/roma-marie-susu-115g_fi.jpg,"Tepung terigu (60,52%), Gula, Minyak Nabati (mengandung Antioksidan BHA), Susu Bubuk (1,18%), Whey Bubuk (0,98%), Ekstrak Malt, Pengembang, Garam, Pengemulsi Lesitin Kedelai, Glukosa, Mentega (0,12%), Perisa Sintetik, Vanilin, Vitamin D (0,001%).","Alergen:Tepung Terigu, Susu Bubuk, Whey Bubuk, Ekstrak Malt, Mentega.",492.9 kkal,13.7 g,11 g,82.1 g,27.4 g,492.9 mg
Monde Egg Rolls (300g),https://nyemil.com/monde-egg-rolls-300g/,https://nyemil.com/wp-content/uploads/2023/09/monde-egg-rolls-300g_fi.jpg,"Telur (35,32%), Tepung Terigu (22,94%), Lemak Nabati (Mengandung Antioksidan Tokoferol), Gula (17,52%), Mentega (5,5%), Susu Bubuk Full Cream, Garam.","Alergen:Telur, Tepung Terigu, Mentega, Susu Bubuk Full Cream.",1500 kkal,70 g,30 g,200 g,90 g,250 mg
Milk Life Pure (1000ml),https://nyemil.com/milk-life-pure-1000ml/,https://nyemil.com/wp-content/uploads/2023/09/milk-life-pure-1000ml_fi.jpg,Susu Sapi Segar (100%),Alergen:Susu Sapi Segar,700 kkal,35 g,35 g,60 g,45 g,325 mg
Indomie Mi Goreng Jumbo (129g),https://nyemil.com/indomie-mi-goreng-jumbo-129g/,https://nyemil.com/wp-content/uploads/2023/09/Indomie-mi-goreng-jumbo_fi.jpg,"Komposisi Mi:
Tepung terigu, minyak nabati, tepung tapioka, garam, pengatur keasaman, penstabil (nabati dan fosfat), mineral (zat besi), antioksidan TBHQ, pewarna sintetik Tartrazin CI 19140.
Bumbu: 
Gula, garam, penguat rasa (mononatrium glutamat, dinatrium inosinat, dan guanilat), perisa sintetik ayam (mengandung susu), bawang putih bubuk, lada bubuk, pewarna alami karamel I, dan vitamin (A, B1, B6, B12, Niasin, Asam Folat, dan Pantotenat).
Minyak:
Minyak nabati dan bawang merah.
Kecap Manis:
Gula, air, kedelai, gandum, garam, rempah-rempah, minyak nabati (mengandung wijen).
Saus Cabe:
Cabai, air, gula, garam, pengental, pengatur keasaman, rempah-rempah, penguat rasa (mononatrium glutamat, dinatrium inosinat, dan guanilat), perisa alami dan sintetik, pengawet (natrium benzoat dan natrium metabisulfit).
Bawang Goreng: 
Mengandung antioksidan TBHQ.","Alergen:Tepung terigu, susu, kedelai, dan gandum. Mungkin mengandung kacang tanah, udang, ikan, dan telur.",560 kkal,21 g,13 g,80 g,13 g,1340 mg
Indomie Mi Goreng Ayam Panggang Jumbo (127g),https://nyemil.com/indomie-mi-goreng-ayam-panggang-jumbo-127g/,https://nyemil.com/wp-content/uploads/2023/09/indomie-mi-goreng-rasa-ayam-panggang-jumbo_fi.jpg,"Komposisi Mi:
Tepung terigu, minyak nabati, tepung tapioka, garam, pengatur keasaman, penstabil (nabati dan fosfat), mineral (zat besi), antioksidan TBHQ, pewarna sintetik Tartrazin CI 19140.
Bumbu: 
Gula, garam, penguat rasa (mononatrium glutamat, dinatrium inosinat, dan guanilat), perisa sintetik ayam panggang, bawang merah bubuk, lada bubuk, dan vitamin (A, B1, B6, B12, Niasin, Asam Folat, dan Pantotenat).
Minyak:
Minyak nabati dan bawang merah.
Kecap Manis:
Gula, air, kedelai, gandum, garam, rempah-rempah, minyak nabati (mengandung wijen).
Saus Cabe:
Cabai, air, gula, garam, pengental, pengatur keasaman, rempah-rempah, penguat rasa (mononatrium glutamat, dinatrium inosinat, dan guanilat), perisa alami dan sintetik, pengawet (natrium benzoat dan natrium metabisulfit).
Pelengkap: 
Baso ayam kering (mengandung telur dan susu) dan sayuran kering.","Alergen:Tepung terigu, kedelai, gandum, telur, dan susu. Mungkin mengandung kacang tanah, udang, dan ikan.",570 kkal,25 g,14 g,75 g,13 g,1190 mg
