scrape_order,search_link,product_link,brand,product_name,ukuran_porsi,energi,lemak,lemak_jenuh,lemak_trans,kolestrol,protein,karbohirdat,serat,gula,sodium,kalium,natrium,karbohidrat
1715569705-1,https://www.fatsecret.co.id/kalori-gizi/search?q=Ultra Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/walnut-milk/1-porsi,137 Degrees,Walnut Milk,1 porsi (180 ml),60_kkal,"5,00g","0,500g","0,000g",0,"1,00g",0,"0,0g","0,00g",20mg,0,0,0
1715569705-2,https://www.fatsecret.co.id/kalori-gizi/search?q=Ultra Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/pistachio-milk/1-porsi,137 Degrees,Pistachio Milk,1 porsi (180 ml),45_kkal,"3,00g","0,500g",0,0,"1,00g",0,0,"1,00g",15mg,0,0,0
1715569705-3,https://www.fatsecret.co.id/kalori-gizi/search?q=Acaii Tea,https://www.fatsecret.co.id/kalori-gizi/137-degrees/matcha-green-tea-latte-with-walnut-milk/1-porsi,137 Degrees,Matcha Green Tea Latte with Walnut Milk,1 porsi (180 ml),60_kkal,"5,00g","0,500g",0,0,"1,00g",0,0,"1,00g",15mg,0,0,0
1715569705-4,https://www.fatsecret.co.id/kalori-gizi/search?q=Original Love Juice,https://www.fatsecret.co.id/kalori-gizi/137-degrees/almond-milk-original-unsweetened/1-botol,137 Degrees,Almond Milk Original Unsweetened,1 botol (180 ml),100_kkal,"7,00g","2,000g","0,000g",0,"4,00g",0,"0,0g","0,00g",10mg,0mg,0,0
1715569705-5,https://www.fatsecret.co.id/kalori-gizi/search?q=Asia Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/double-belgian-chocolate-with-pistachio-milk/1-botol,137 Degrees,Double Belgian Chocolate with Pistachio Milk,1 botol (180 ml),45_kkal,"3,00g","0,500g",0,0,"1,00g",0,0,0,20mg,0,0,0
1715569705-6,https://www.fatsecret.co.id/kalori-gizi/search?q=Asia Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/iced-coffee-latte-with-almond-milk/1-porsi,137 Degrees,Iced Coffee Latte with Almond Milk,1 porsi (180 ml),80_kkal,"4,50g","1,500g",0,0,"1,00g",0,0,"2,00g",25mg,0,0,0
1715569705-7,https://www.fatsecret.co.id/kalori-gizi/search?q=Ultra Milk,https://www.fatsecret.co.id/kalori-gizi/137-degrees/almond-milk/1-porsi,137 Degrees,Almond Milk,1 botol (180 ml),70_kkal,"6,00g","0,500g","0,000g",0,"2,00g",0,"0,0g",0,25mg,0,0,0
1715569705-8,0,https://www.fatsecret.co.id/kalori-gizi/4life/nutrastart-coklat/1-porsi,4Life,Nutrastart Coklat,1 porsi (64 g),260 kkal,"4,50g",0,0,"10,00g","46,00g",0,"16,00g",260mg,0,0,0,"3,0g"
1715569705-9,0,https://www.fatsecret.co.id/kalori-gizi/4life/riovida-stix/1-sachet,4Life,Riovida Stix,1 sachet (8 g),30 kkal,"0,00g",0,0,"0,00g","7,00g",0,"4,00g",0mg,0,0,0mg,"0,0g"
1715569705-10,0,https://www.fatsecret.co.id/kalori-gizi/5-days/croissant-creamy-cheese/1-porsi,5 Days,Croissant Creamy Cheese,1 bungkus (60 g),240 kkal,"14,00g",0,0,"0,000g",25mg,0,"26,00g","4,0g",0,230mg,"8,00g","6,00g"
